Feature,Importance
login_frequency,0.1455518193108522
new_device,0.14331295841242758
new_location,0.13688847381081165
session_ratio,0.12241530178264215
resource_count,0.10061025614915763
failed_login_ratio,0.07526440993066315
session_duration,0.06786161220642303
time_since_last_login,0.05288705299429493
failed_login,0.05051027020575766
auth_changed,0.031168718087737482
new_resource,0.024236039085506558
command_length,0.020425842272047644
avg_session_duration,0.013504537131886466
hour_of_day,0.0077363014232106194
day_of_week,0.005933481567919756
is_weekend,0.001692925628661577
