event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource,auth_method,session_duration,command_sequence,device_fingerprint,login_status,label,attack_type,hour_of_day,day_of_week,is_weekend,login_date,time_since_last_login,login_frequency,failed_login,failed_login_ratio,avg_session_duration,session_ratio,new_device,new_location,auth_changed,new_resource,resource_count,command_length,prediction,anomaly_score,risk_score
EVT000136,USER041,user,2026-07-01 07:44:46,185.220.101.10,Mumbai,Sensors,Certificate,548,login>plc>scada>logout,macOS-36:2b:24:c8:45:e8,Failed,anomaly,Credential Stuffing,7,2,0,2026-07-01,0.0,4,1,1.0,456.20183486238534,1.201222700398182,1,1,1,1,3,4,anomaly,0.18420241508369983,100.0
EVT000704,USER202,user,2026-07-01 14:13:38,185.220.101.10,Chennai,Invoices,MFA,888,login>finance_api>update>logout,Windows 10-88:50:a9:69:73:e9,Failed,anomaly,Credential Stuffing,14,2,0,2026-07-01,0.0,3,1,1.0,815.4747474747475,1.0889362334638062,1,1,1,1,3,4,anomaly,0.17853931899912912,98.56384453874757
EVT000196,USER056,user,2026-07-01 11:24:25,10.30.125.172,Hyderabad,Firewall,Token,528,login>vpn>server>logout,macOS-44:21:4e:4e:a9:54,Success,normal,,11,2,0,2026-07-01,0.0,6,0,0.0,312.752380952381,1.6882365480069428,1,1,1,1,5,4,anomaly,0.14535020182389013,90.14711786246359
EVT001637,USER476,user,2026-07-01 13:32:07,10.30.66.183,Hyderabad,CRM,Certificate,474,login>reports>download>logout,Windows 10-b4:49:3b:e7:d9:45,Success,normal,,13,2,0,2026-07-01,0.0,11,0,0.0,450.17241379310343,1.0529299119111453,1,1,1,1,3,4,anomaly,0.142594345806338,89.448235553047
EVT000478,USER138,user,2026-07-01 09:00:54,10.40.88.29,Chennai,Payroll_DB,Password,634,login>finance_api>update>logout,Windows 10-7c:6a:a1:9c:15:59,Success,normal,,9,2,0,2026-07-01,0.0,11,0,0.0,642.4761904761905,0.9868069967388082,1,1,1,1,3,4,anomaly,0.13857923964934238,88.43000867701217
EVT044606,USER244,user,2026-07-26 19:05:00,10.30.175.93,Hyderabad,Firewall,Password,1054,login>firewall>router>logout,Ubuntu 22.04-a0:a4:0d:e4:ca:9b,Failed,anomaly,Brute Force,19,6,1,2026-07-26,20.0,11,1,0.5,1120.4774774774776,0.9406704027401444,0,0,0,0,6,4,anomaly,0.1344122821756184,87.37327246005128
EVT001173,USER342,user,2026-07-01 10:07:35,10.50.230.14,Pune,Payroll_DB,Token,826,login>open_payroll>read>logout,Windows 10-06:52:73:5a:cc:87,Success,normal,,10,2,0,2026-07-01,0.0,11,0,0.0,837.3416666666667,0.9864551507250128,1,1,1,1,3,4,anomaly,0.13374322909278047,87.2036012723412
EVT000368,USER106,user,2026-07-01 14:02:56,10.20.110.24,Mumbai,PLC,Certificate,140,login>sensor>read>logout,Windows 11-94:bd:7a:90:79:31,Success,normal,,14,2,0,2026-07-01,0.0,4,0,0.0,373.9652173913043,0.3743663674836069,1,1,1,1,3,4,anomaly,0.13352514265696058,87.14829477194804
EVT000273,USER078,user,2026-07-01 10:02:00,10.20.13.248,Mumbai,SCADA,Certificate,699,login>plc>scada>logout,macOS-74:23:cd:b0:ab:92,Success,normal,,10,2,0,2026-07-01,0.0,2,0,0.0,354.7217391304348,1.970558674282352,1,1,1,1,3,4,anomaly,0.13317562148613782,87.05965655518388
EVT000474,USER137,user,2026-07-01 11:38:09,10.50.200.160,Pune,Payroll_DB,Certificate,176,login>finance_api>update>logout,macOS-b6:60:70:62:f6:45,Success,normal,,11,2,0,2026-07-01,0.0,3,0,0.0,457.0377358490566,0.3850885522024522,1,1,1,1,8,4,anomaly,0.1329321614885538,86.99791534509221
EVT045348,USER457,user,2026-07-26 08:19:29,10.10.152.23,Bangalore,Payroll_DB,Token,117,login>open_payroll>read>logout,Windows 10-02:9b:e0:f3:43:28,Failed,anomaly,Brute Force,8,6,1,2026-07-26,20.0,10,1,0.5,316.212962962963,0.3700038066235249,0,0,0,0,3,4,anomaly,0.13149858585256535,86.63436200819005
EVT000972,USER283,user,2026-07-01 07:25:46,10.30.66.101,Hyderabad,Invoices,MFA,636,login>finance_api>update>logout,Windows 11-c0:1e:09:39:d4:57,Success,normal,,7,2,0,2026-07-01,0.0,3,0,0.0,386.1272727272727,1.6471253001836417,1,1,1,1,3,4,anomaly,0.13023203641699588,86.3131663474286
EVT000608,USER176,user,2026-07-01 09:16:30,10.40.117.39,Chennai,Firewall,Token,1381,login>vpn>server>logout,macOS-b6:60:70:62:f6:45,Success,normal,,9,2,0,2026-07-01,0.0,6,0,0.0,1103.9406779661017,1.2509730165432005,1,1,1,1,5,4,anomaly,0.1298344942237486,86.21235004776068
EVT000346,USER099,user,2026-07-01 15:24:59,10.40.23.215,Chennai,SCADA,MFA,129,login>plc>scada>logout,Windows 11-c0:87:f5:a1:00:86,Success,normal,,15,2,0,2026-07-01,0.0,2,0,0.0,354.87619047619046,0.3635070581289249,1,1,1,1,3,4,anomaly,0.12980648330032074,86.2052465058015
EVT000603,USER174,user,2026-07-01 09:24:02,10.50.16.106,Pune,CRM,Token,518,login>crm>customer_db>logout,macOS-cc:ae:19:a1:84:c6,Success,normal,,9,2,0,2026-07-01,0.0,5,0,0.0,368.16101694915255,1.4069930713808898,1,1,1,1,8,4,anomaly,0.12979782161201092,86.20304991037312
EVT001485,USER432,user,2026-07-01 10:12:25,10.40.183.81,Chennai,Attendance,MFA,568,login>employee_db>update>logout,Windows 11-20:0c:46:b7:cb:96,Success,normal,,10,2,0,2026-07-01,0.0,4,0,0.0,335.32380952380953,1.6938850861995511,1,1,1,1,3,4,anomaly,0.12882363196827962,85.95599639825771
EVT000925,USER268,user,2026-07-01 10:23:23,10.50.4.37,Pune,Payroll_DB,Token,1254,login>open_payroll>read>logout,Ubuntu 22.04-b4:e1:c0:be:80:51,Success,normal,,10,2,0,2026-07-01,0.0,2,0,0.0,1104.0654205607475,1.1358022601261268,1,1,1,1,9,4,anomaly,0.12807943280622336,85.76726824057052
EVT000391,USER114,user,2026-07-01 12:25:20,10.20.150.247,Mumbai,CRM,MFA,201,login>crm>customer_db>logout,Windows 11-2e:cc:b4:cc:be:f6,Success,normal,,12,2,0,2026-07-01,0.0,5,0,0.0,362.59016393442624,0.5543448774753594,1,1,1,1,8,4,anomaly,0.1272632643078524,85.5602887317059
